# emusave--lhsid    pressure_params--p0_a_m    pressure_params--p0_alpha_z    pressure_params--beta_a_m    pressure_params--bpl_alm    
0.000000000000000000e+00 2.537500000000000000e+01 -2.625000000000000000e+00 3.862499999999999822e+00 6.625000000000000888e-01
1.000000000000000000e+00 3.662500000000000000e+01 5.250000000000007994e-01 5.812500000000000000e+00 1.462500000000000133e+00
2.000000000000000000e+00 2.462500000000000000e+01 2.925000000000000711e+00 3.412500000000000089e+00 1.287500000000000089e+00
3.000000000000000000e+00 1.412500000000000000e+01 2.625000000000000000e+00 4.612500000000000711e+00 6.875000000000000000e-01
4.000000000000000000e+00 3.737500000000000000e+01 9.750000000000005329e-01 3.487500000000000266e+00 1.012499999999999956e+00
5.000000000000000000e+00 2.162500000000000000e+01 -2.774999999999999911e+00 5.887500000000000178e+00 8.125000000000000000e-01
6.000000000000000000e+00 2.762500000000000355e+01 1.275000000000000355e+00 3.937500000000000000e+00 1.062500000000000000e+00
7.000000000000000000e+00 2.612500000000000355e+01 -8.249999999999997335e-01 4.987500000000000711e+00 8.625000000000000444e-01
8.000000000000000000e+00 1.712500000000000000e+01 -3.750000000000000000e-01 5.662499999999999645e+00 7.125000000000000222e-01
9.000000000000000000e+00 1.937500000000000000e+01 -9.749999999999996447e-01 4.837500000000000355e+00 1.262499999999999956e+00
1.000000000000000000e+01 3.287500000000000000e+01 3.750000000000000000e-01 3.787500000000000089e+00 1.162500000000000089e+00
1.100000000000000000e+01 3.062500000000000000e+01 -1.424999999999999822e+00 3.037500000000000089e+00 1.187500000000000000e+00
1.200000000000000000e+01 3.437500000000000000e+01 -2.249999999999996447e-01 4.687500000000000000e+00 8.874999999999999556e-01
1.300000000000000000e+01 2.012500000000000000e+01 1.725000000000000533e+00 5.962500000000000355e+00 1.337500000000000133e+00
1.400000000000000000e+01 2.087500000000000000e+01 -2.174999999999999822e+00 4.237499999999999822e+00 5.374999999999999778e-01
1.500000000000000000e+01 1.862500000000000000e+01 2.025000000000000355e+00 5.137500000000000178e+00 1.487500000000000044e+00
1.600000000000000000e+01 3.137500000000000355e+01 -1.575000000000000178e+00 5.362500000000000711e+00 7.375000000000000444e-01
1.700000000000000000e+01 2.387500000000000000e+01 1.574999999999999289e+00 5.437500000000000000e+00 5.124999999999999556e-01
1.800000000000000000e+01 3.962500000000000000e+01 -1.875000000000000000e+00 3.337499999999999911e+00 9.375000000000000000e-01
1.900000000000000000e+01 3.587500000000000000e+01 -6.749999999999998224e-01 5.512500000000000178e+00 9.875000000000000444e-01
2.000000000000000000e+01 1.487500000000000000e+01 -1.125000000000000000e+00 3.562500000000000000e+00 8.375000000000000222e-01
2.100000000000000000e+01 3.362500000000000000e+01 -2.924999999999999822e+00 4.537499999999999645e+00 1.112500000000000044e+00
2.200000000000000000e+01 2.912500000000000000e+01 2.475000000000000533e+00 3.112499999999999822e+00 6.374999999999999556e-01
2.300000000000000000e+01 1.637500000000000000e+01 -7.499999999999973355e-02 5.062500000000000000e+00 7.875000000000000888e-01
2.400000000000000000e+01 1.187500000000000000e+01 2.324999999999999289e+00 5.587500000000000355e+00 1.137499999999999956e+00
2.500000000000000000e+01 3.212500000000000000e+01 -5.249999999999999112e-01 3.262500000000000178e+00 9.625000000000000222e-01
2.600000000000000000e+01 1.037500000000000000e+01 -2.475000000000000089e+00 3.712499999999999911e+00 1.412500000000000089e+00
2.700000000000000000e+01 2.237500000000000000e+01 -2.024999999999999911e+00 4.387500000000000178e+00 1.437500000000000000e+00
2.800000000000000000e+01 2.837500000000000000e+01 7.499999999999973355e-02 3.637500000000000178e+00 7.624999999999999556e-01
2.900000000000000000e+01 2.687500000000000000e+01 1.875000000000000000e+00 5.287499999999999645e+00 1.212500000000000133e+00
3.000000000000000000e+01 1.562500000000000000e+01 1.125000000000000000e+00 4.912499999999999645e+00 5.625000000000000000e-01
3.100000000000000000e+01 1.262500000000000000e+01 1.425000000000000711e+00 4.312500000000000000e+00 1.237500000000000044e+00
3.200000000000000000e+01 3.512500000000000000e+01 -2.325000000000000178e+00 4.762500000000000178e+00 1.312500000000000000e+00
3.300000000000000000e+01 3.887500000000000000e+01 -1.274999999999999911e+00 4.087500000000000355e+00 6.125000000000000444e-01
3.400000000000000000e+01 2.987500000000000355e+01 6.750000000000002665e-01 3.187500000000000000e+00 1.362500000000000044e+00
3.500000000000000000e+01 1.112500000000000000e+01 2.250000000000005329e-01 5.212500000000000355e+00 1.037500000000000089e+00
3.600000000000000000e+01 1.337500000000000000e+01 8.249999999999997335e-01 4.012500000000000178e+00 9.125000000000000888e-01
3.700000000000000000e+01 2.312500000000000000e+01 -1.724999999999999867e+00 5.737500000000000711e+00 5.875000000000000222e-01
3.800000000000000000e+01 1.787500000000000000e+01 2.775000000000000355e+00 4.162499999999999645e+00 1.387499999999999956e+00
3.900000000000000000e+01 3.812500000000000000e+01 2.175000000000000711e+00 4.462500000000000355e+00 1.087500000000000133e+00
